交易日,合约代码,交易所代码,合约在交易所的代码,最新价,上次结算价,昨收盘,昨持仓量,今开盘,最高价,最低价,数量,成交金额,持仓量,今收盘,本次结算价,涨停板价,跌停板价,昨虚实度,今虚实度,最后修改时间,最后修改毫秒,申买价一,申买量一,申卖价一,申卖量一,申买价二,申买量二,申卖价二,申卖量二,申买价三,申买量三,申卖价三,申卖量三,申买价四,申买量四,申卖价四,申卖量四,申买价五,申买量五,申卖价五,申卖量五,当日均价,业务日期
20230120,IH2301,,,2821.4000,2815.0000,2818.4000,17718,2821.4000,2821.4000,2821.4000,127,107495340.0000,17595,0.0000,0.0000,3378.0000,2252.0000,0,0,09:29:00,200,2821.2000,7,2822.0000,10,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,846420.0000,20230120
20230120,IH2301,,,2824.6000,2815.0000,2818.4000,17718,2821.4000,2828.0000,2821.4000,148,125283600.0000,17590,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:00,200,2824.6000,1,2831.2000,14,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,846510.8108,20230120
20230120,IH2301,,,2826.0000,2815.0000,2818.4000,17718,2821.4000,2831.0000,2821.4000,184,155813640.0000,17567,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:00,700,2826.0000,2,2830.2000,1,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,846813.2609,20230120
20230120,IH2301,,,2828.8000,2815.0000,2818.4000,17718,2821.4000,2831.0000,2821.4000,208,176181540.0000,17552,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:01,200,2828.2000,1,2830.2000,15,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,847026.6346,20230120
20230120,IH2301,,,2830.2000,2815.0000,2818.4000,17718,2821.4000,2831.0000,2821.4000,226,191462280.0000,17535,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:01,700,2828.6000,1,2830.2000,33,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,847178.2301,20230120
20230120,IH2301,,,2828.8000,2815.0000,2818.4000,17718,2821.4000,2831.0000,2821.4000,238,201648900.0000,17523,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:02,200,2828.8000,9,2830.0000,2,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,847264.2857,20230120
20230120,IH2301,,,2829.2000,2815.0000,2818.4000,17718,2821.4000,2831.0000,2821.4000,243,205892940.0000,17519,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:02,700,2829.2000,1,2829.8000,10,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,847296.0494,20230120
20230120,IH2301,,,2830.2000,2815.0000,2818.4000,17718,2821.4000,2831.0000,2821.4000,274,232210320.0000,17500,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:03,200,2829.8000,1,2830.2000,18,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,847482.9197,20230120
20230120,IH2301,,,2830.2000,2815.0000,2818.4000,17718,2821.4000,2831.0000,2821.4000,285,241548780.0000,17491,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:03,700,2829.8000,3,2830.2000,14,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,847539.5789,20230120
20230120,IH2301,,,2830.0000,2815.0000,2818.4000,17718,2821.4000,2831.0000,2821.4000,292,247491660.0000,17484,0.0000,0.0000,3378.0000,2252.0000,0,0,09:30:04,200,2830.0000,4,2830.2000,13,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,847574.1781,20230120
