r1,r2,r3,ap,at,sl,pnl,trades
0.0,0.0,0.45,2,0.5,2.4,179.59999999999695,1
0.1,0.0,0.45,2,0.5,2.4,179.59999999999695,1
0.05,0.0,0.45,2,0.5,2.4,179.59999999999695,1
0.1,0.0,0.45,2,0.5,2.4,179.59999999999695,1
0.0,0.0,0.45,2,0.5,2.4,179.59999999999695,1
0.05,0.0,0.45,2,0.5,2.4,179.59999999999695,1
0.15,0.0,0.45,2,0.5,2.4,168.19999999999678,2
0.15,0.0,0.45,2,0.5,2.4,168.19999999999678,2
0.15,0.35,0.2,2,0.5,2.4,138.3999999999975,2
0.5,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.0,0.25,0.25,2,0.5,2.4,138.3999999999975,2
0.4,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.35,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.05,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.0,0.25,0.25,2,0.5,2.4,138.3999999999975,2
0.05,0.25,0.25,2,0.5,2.4,138.3999999999975,2
0.05,0.35,0.2,2,0.5,2.4,138.3999999999975,2
0.1,0.35,0.2,2,0.5,2.4,138.3999999999975,2
0.2,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.1,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.35,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.0,0.35,0.2,2,0.5,2.4,138.3999999999975,2
0.45,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.1,0.25,0.25,2,0.5,2.4,138.3999999999975,2
0.15,0.25,0.25,2,0.5,2.4,138.3999999999975,2
0.3,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.15,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.25,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.0,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.05,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.45,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.15,0.25,0.25,2,0.5,2.4,138.3999999999975,2
0.1,0.35,0.2,2,0.5,2.4,138.3999999999975,2
0.5,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.2,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.0,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.0,0.35,0.2,2,0.5,2.4,138.3999999999975,2
0.1,0.25,0.25,2,0.5,2.4,138.3999999999975,2
0.3,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.05,0.25,0.25,2,0.5,2.4,138.3999999999975,2
0.15,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.25,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.1,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.15,0.35,0.2,2,0.5,2.4,138.3999999999975,2
0.4,0.65,0.1,2,0.5,2.4,138.3999999999975,2
0.05,0.35,0.2,2,0.5,2.4,138.3999999999975,2
